Season,Week,Team,Player,Position,PlayerID,GSISID,percentile,pass_att,pass_comp,pass_td,pass_int,pass_yards,pass_longest,rush_att,design_rushes,scrambles,kneels,rush_td,design_rush_td,scramble_td,rush_yards,design_rush_yards,scramble_rush_yards,kneel_rush_yards,rush_longest,targets,catches,rec_td,rec_yards,rec_longest,pass_rush_td,rec_rush_td,pass_rush_yards,rec_rush_yards,fumble,fantasy_pts,fantasy_pts_ppr,fantasy_pts_dk,fantasy_pts_fd
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.01,18.0,10.0,0.0,0.0,93.99,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,4.4,4.4,6.5996,6.0598
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.02,19.0,11.98,0.0,0.0,110.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,3.0,0.0,6.04,6.04,7.94,7.52
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.03,21.0,12.0,0.0,0.0,120.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,4.0,0.0,7.16,7.16,8.8794,8.52
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.04,21.0,13.0,0.0,0.0,129.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,6.0,0.0,8.0,8.0,9.5584,9.22
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.05,22.0,14.0,0.0,0.0,137.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,7.0,0.0,8.64,8.64,10.3,9.88
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.06,22.0,14.0,0.0,0.0,141.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,8.0,0.0,9.3388,9.36,10.88,10.52
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.07,23.0,14.0,0.0,0.0,147.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,9.0,0.0,9.88,9.88,11.38,11.0386
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.08,23.0,15.0,0.0,0.0,151.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,10.0,0.0,10.32,10.32,11.7584,11.48
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.09,24.0,15.0,0.0,0.0,155.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,191.0,11.0,0.0,10.74,10.74,12.1,11.8
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.1,24.0,15.0,0.0,0.0,159.0,21.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195.0,12.0,0.0,11.138,11.14,12.5,12.14
